施設種別,都道府県,市区町村,施設名,住所,郵便番号,設置者法人名,運営委託先法人名,設置区分,設置パターン,定員合計,在籍児童合計,充足率,開所時間,開所曜日,施設HP,出典
企業主導型保育園,長崎県,雲仙市,企業主導型保育事業 こどもの丘ナーサリー,長崎県雲仙市愛野町乙2288番地8,,社会福祉法人 小浜会,,,7.「その他」1～6以外で設置,36,30,83.33%,07:00～20:00,月 火 水 木 金 土 日,,児童育成協会_2026年1月施設一覧
幼保連携型認定こども園,長崎県,雲仙市,幼保連携型認定こども園小さき花の幼稚園,長崎県雲仙市愛野町乙７７１,854-0302,,,私立,,,,,,,,文部科学省_学校コード一覧
幼保連携型認定こども園,長崎県,雲仙市,認定こども園うせん辻幼稚園,長崎県雲仙市吾妻町馬場名４１６,859-1111,,,私立,,,,,,,,文部科学省_学校コード一覧
幼保連携型認定こども園,長崎県,雲仙市,認定こども園くにみ幼稚園,長崎県雲仙市国見町多比良丁１８０,859-1324,,,私立,,,,,,,,文部科学省_学校コード一覧
幼保連携型認定こども園,長崎県,雲仙市,認定こども園小浜こども園小浜幼稚園小浜保育園,長崎県雲仙市小浜町北本町２０７番地,854-0514,,,私立,,,,,,,,文部科学省_学校コード一覧
企業主導型保育園,長野県,上伊那郡宮田村,キッズパーク821,長野県上伊那郡宮田村7610-21,,医療法人Smile&Wellness,,,5.「病院・介護施設・学校内設置型」病院、介護施設又は学校内に設置,17,17,100%,07:00～18:00（延長06:30～19:30）,月 火 水 木 金 土,,児童育成協会_2026年1月施設一覧
幼稚園,長野県,上伊那郡辰野町,聖ヨゼフ幼稚園,長野県上伊那郡辰野町大字伊那富２７９２－１,399-0428,,,私立,,,,,,,,文部科学省_学校コード一覧
企業主導型保育園,長野県,上田市,ナーサリーさなだ,長野県上田市真田町長7141番地1,,社会福祉法人恵仁福祉協会,,,2.「住宅地型」駅等近接以外の住宅地に設置,16,13,81.25%,08:00～19:00,月 火 水 木 金 土,,児童育成協会_2026年1月施設一覧
企業主導型保育園,長野県,上田市,丸子中央病院保育園 あったかステーション わくわく,長野県上田市中丸子１852番地13,,医療法人丸山会,,,5.「病院・介護施設・学校内設置型」病院、介護施設又は学校内に設置,42,28,66.67%,07:30～18:30,月 火 水 木 金 土 日,,児童育成協会_2026年1月施設一覧
幼保連携型認定こども園,長野県,上田市,日向幼稚園,長野県上田市築地１８８－４,386-1106,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長野県,上田市,いずみ幼稚園,長野県上田市真田町長７０４２,386-2201,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長野県,上田市,おひさまクラブ幼稚園,長野県上田市舞田７３８－１,386-1326,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長野県,上田市,たちばな幼稚園,長野県上田市中央６－３－３,386-0012,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長野県,上田市,上田北幼稚園,長野県上田市大字上野字上野原１６１６－６５,386-0003,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長野県,上田市,上田南幼稚園,長野県上田市上田原１１８３,386-1102,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長野県,上田市,上田女子短期大学附属幼稚園,長野県上田市下之郷乙６０２,386-1214,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長野県,上田市,上田市立ちぐさ幼稚園,長野県上田市塩川２６２０,386-0401,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長野県,上田市,上田幼稚園,長野県上田市中央西２－８－３,386-0023,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長野県,上田市,大屋幼稚園,長野県上田市大屋４０－１,386-0152,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長野県,上田市,梅花幼稚園,長野県上田市大手２－２－８,386-0024,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長野県,上田市,聖マリア幼稚園,長野県上田市常田２－２－１,386-0018,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長野県,上田市,西望幼稚園,長野県上田市上丸子３０３,386-0404,,,私立,,,,,,,,文部科学省_学校コード一覧
企業主導型保育園,長野県,上高井郡小布施町,企業主導型保育 みらいく小布施第２,長野県上高井郡小布施町福原56-1,,一般社団法人信州子育てみらいネット,,,2.「住宅地型」駅等近接以外の住宅地に設置,30,29,96.67%,06:30～19:30,月 火 水 木 金 土 日,,児童育成協会_2026年1月施設一覧
企業主導型保育園,長野県,上高井郡小布施町,企業主導型保育みらいく小布施,長野県上高井郡小布施町福原54-5,,一般社団法人信州子育てみらいネット,,,2.「住宅地型」駅等近接以外の住宅地に設置,12,10,83.33%,07:30～18:30,月 火 水 木 金 土,,児童育成協会_2026年1月施設一覧
幼保連携型認定こども園,長野県,上高井郡小布施町,小布施町立認定こども園栗ガ丘幼稚園,長野県上高井郡小布施町大字都住５５０－１,381-0208,,,公立,,,,,,,,文部科学省_学校コード一覧
幼保連携型認定こども園,長野県,中野市,認定こども園中野マリア幼稚園,長野県中野市中央２－６－４,383-0022,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長野県,中野市,中野中央幼稚園,長野県中野市中央４－２－５,383-0022,,,私立,,,,,,,,文部科学省_学校コード一覧
企業主導型保育園,長野県,伊那市,アーク保育園,長野県伊那市上新田2401-1,,株式会社 アーク,,,2.「住宅地型」駅等近接以外の住宅地に設置,14,11,78.57%,08:00～18:00,月 火 水 木 金 土 日,,児童育成協会_2026年1月施設一覧
幼保連携型認定こども園,長野県,伊那市,認定こども園伊那緑ヶ丘幼稚園,長野県伊那市西町７２２７－２４３９,396-0026,,,私立,,,,,,,,文部科学省_学校コード一覧
幼保連携型認定こども園,長野県,伊那市,認定こども園緑ヶ丘敬愛幼稚園,長野県伊那市狐島３９５０,396-0014,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長野県,伊那市,天使幼稚園,長野県伊那市御園８７７－１,396-0022,,,私立,,,,,,,,文部科学省_学校コード一覧
企業主導型保育園,長野県,佐久市,さんぴあ保育園,長野県佐久市根岸3203番地2,,株式会社エスポワール,,,5.「病院・介護施設・学校内設置型」病院、介護施設又は学校内に設置,19,18,94.74%,07:00～18:00（延長07:00～19:00）,月 火 水 木 金 土,https://sunpia-nursery.jp/,児童育成協会_2026年1月施設一覧
企業主導型保育園,長野県,佐久市,のぞみｋｉｄｓ保育園,長野県佐久市長土呂1199-1,,株式会社シルバーケアのぞみ,,,1.「駅等近接型」交通の利便性の高い駅等の近くに設置,19,19,100%,07:00～18:00（延長07:00～19:00）,月 火 水 木 金 土,https://www.nozomikids-nursery.jp/,児童育成協会_2026年1月施設一覧
